,Unnamed: 0,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,0,edc5a8fa-44f2-4bef-b425-57e0af53a411,No One,https://play-lh.googleusercontent.com/a-/ALV-UjXGPzirzwmRL12WfzIAYhv7b7uKcm81sXFa1al673zZ3ISGX_9w,"i wish i could remove this single star. I was a regular user of nagad. But it is more than 6 months i left using it (i dont explicitly remember exact month). But when resetting the pin, even though i gave it the original information about transition, it said the provided data did not match. It is very frastrating and there is no customer service online. I even doubt you read it or not but i am sending anyway, but to say, i am looking forward to tellling everyone it is not as reliable as it seems",1,23,1.1.100.09,2026-01-24 19:55:15,,,1.1.100.09
1,1,27cdc783-9dbc-4e63-b342-314a03279fe4,Muhtasim,https://play-lh.googleusercontent.com/a-/ALV-UjUrMl9iDN99UCV0CLlkIja1LkGtqoSHSxppSOY0fwZtHHQg2xyQ,"It takes a lot of time to log in, besides it shows ""time out"" or ""error"" which is really frustrating. You should make you app stable. The app just keep loading for a long time and this is not a coincidence. This is happening again and again. Paying electricity bill with fees added.. it's really bad if we face ""time out"" problem.. for that reason the process has become so lengthy, which is not expected.",1,28499,1.1.52.01,2023-10-25 07:50:46,"We are extremely sorry to hear about your experience. Our goal is to create customer satisfaction. Your review will help us improve our service quality. Stay with Nagad.
Please share your problem details in our inbox. Facebook (Inbox) Link: https://m.me/MyNagad",2025-12-24 16:00:58,1.1.52.01
2,2,0618fe2a-7cb2-451f-abb2-bbf589acf877,Md Imam Hossen,https://play-lh.googleusercontent.com/a-/ALV-UjXPNtSXea4iO8V6RQwG49QBcqfQHST2pdVud4w0YU5WGFhFtZ07,"One of the worst applications that i have ever used is nagad😡 There are numerous traps and unpredictable ads. for instance, there was a rabbit hole for me by nagad on last sunday, and it said that if u recharge 105 taka through nagad, they will give it back (Cashback) within 3 days. however, it has been 4 days and i don't get my money back yet.💩",1,511,1.1.98.01,2025-11-19 07:42:26,"We are extremely sorry to hear about your experience. Our goal is to create customer satisfaction. Your review will help us improve our service quality. Stay with Nagad.
Please share your problem details in our inbox. Facebook (Inbox) Link: https://m.me/MyNagad",2025-12-24 15:55:16,1.1.98.01
3,3,334b1753-3780-4899-87b0-0568edd80c8d,Abiyaj Talha,https://play-lh.googleusercontent.com/a/ACg8ocKQPPgWz4wxAsMceQrLoRfbNd9MzA93Wy6s9xThwrm6C-9F=mo,"I am extremely frustrated. I forgot my PIN and have been trying to reset it, but I'm not receiving any verification OTP code on my mobile. I've tried multiple times, but the system is not working. This is very disappointing service. Please fix this OTP issue immediately so I can access my account.",1,108,1.1.100.09,2026-01-06 13:59:37,,,1.1.100.09
4,4,10f8c3f7-3a2f-4ec5-9be1-327888bdbdac,Farhan Siddique,https://play-lh.googleusercontent.com/a-/ALV-UjVXV2jXXhtQVfSiWoCBqcLmNPMd6U9yXNOYlwnxGP-5B-KInE8,"Nagad is a fast and user-friendly mobile financial service in Bangladesh. It offers easy cash-in, cash-out, bill payments, and money transfers at low charges. The app interface is simple and works smoothly. While customer support can improve, Nagad is a reliable option for everyday digital transactions.",5,8,1.1.100.09,2026-01-25 23:14:04,,,1.1.100.09
5,5,e2e41d49-b411-4ce0-9e90-f77823106f60,Dipu Chandra Nath,https://play-lh.googleusercontent.com/a-/ALV-UjVoOUiJlZsgP4dDf7iuFIn3TwT2XE6hwk-jmeA_4_DFaquA-shS,"This is a very decent app with a user-friendly interface. However, it lacks an important feature. Instead of requiring the PIN every time to log in, the app should support biometric options such as fingerprint or face unlock. This would enhance both security and convenience by preventing the PIN from being seen by others. Adding this would make it more secure and convenient.",3,447,1.1.100.09,2025-12-24 16:00:35,"We are extremely sorry to hear about your experience. Our goal is to create customer satisfaction. Your review will help us improve our service quality. Stay with Nagad.
Please share your problem details in our inbox. Facebook (Inbox) Link: https://m.me/MyNagad",2025-12-24 15:58:37,1.1.100.09
6,6,94e6af15-387d-49c8-ac37-3a7e35b595f9,Nahid Alam Bhuiyan,https://play-lh.googleusercontent.com/a-/ALV-UjUuzeWdwXDk06vs8D8z5TntmvIeugq45gdz8kV8L1QrhBvTUEVg,"To further improve the Nagad app and make it more popular by making it customer-friendly, some more updates are urgently needed in Nagad. Popular banks need to be added to the Nagad app for transfer and add money. There is a need to bring the charge down to 9-10 taka by adding 2-3 favorite agent numbers in cash out. Along with this, there is a need to make send money free by adding 4-5 favorite numbers in Send Money. There is a need to provide cashback by adding points to transactions in Nagad.",5,1066,1.1.100.09,2025-12-19 14:24:01,"Thank you for your wonderful review. We are glad to know you have liked the experience. Our commitment towards ensuring customer satisfaction will only grow stronger. Stay with Nagad to enjoy more benefits.
Please share your problem details in our inbox. Facebook (Inbox) Link: https://m.me/MyNagad
Deshi Nagad E Beshi Labh",2025-12-24 15:41:11,1.1.100.09
7,7,45e2cc9c-adc7-4cda-90a2-e9f90fd00b49,Fancy Akter,https://play-lh.googleusercontent.com/a-/ALV-UjXZezVI5vfDprLT3lSS7o9lKk8cCy1IkaiVL56JcvjlUdpI4AbF,"Dear nagad, i am a nogad user. I can not login my nagad account. when I trying toh login they show me ""User is not allowed to use this application"". please do something quickly.. this not only my problem. Many people have this problem. I hope you will do something quickly.",1,0,1.1.100.09,2026-01-31 15:15:00,,,1.1.100.09
8,8,d6d40d2e-c39d-4bb4-afc7-1415086ce894,Astak Ahamed,https://play-lh.googleusercontent.com/a-/ALV-UjVVbGO6KKzC2mig1xjogg1EdbvRW-zjvGL8krlOsQzIjbabftXJ,"Recently, the Nagad app has been asking users for sensitive permissions, including camera and contact number, that are not directly related to the app's core functionality. According to Google Play's ""User Data"" and ""Permissions"" policies, apps can only request necessary permissions and cannot access information that is not essential for the core service. Asking for these additional permissions may be considered a potential violation of Google's policies. We request that you review the matter.",1,227,1.1.98.01,2025-11-15 17:12:36,"We are extremely sorry to hear about your experience. Our goal is to create customer satisfaction. Your review will help us improve our service quality. Stay with Nagad.
Please share your problem details in our inbox. Facebook (Inbox) Link: https://m.me/MyNagad",2025-12-24 15:56:17,1.1.98.01
9,9,a2281813-5d5a-4861-9dc0-dd08b1b0c5ca,ARIF MIA,https://play-lh.googleusercontent.com/a-/ALV-UjXlrghiC3dQnf6IY36n6Wn5lKqB2C4JxZo-dfRYhFFi7A6i5us5,"Nagad is a very useful and reliable mobile financial service in Bangladesh. It makes digital transactions fast, easy, and secure. I would really appreciate it if Nagad could be accessible from anywhere in the world, not only within Bangladesh. This would greatly help Bangladeshi people living abroad to use Nagad conveniently. I hope the Nagad team will consider adding international access in the future.",5,230,1.1.100.09,2026-01-21 05:20:18,,,1.1.100.09
